NAME,state,Population Over 65,Year
Wisconsin,55,121958.0,2017
Wyoming,56,12452.0,2017
Delaware,10,19363.0,2017
Connecticut,09,79381.0,2017
Florida,12,386078.0,2017
Georgia,13,226066.0,2017
Idaho,16,35349.0,2017
Hawaii,15,26626.0,2017
Illinois,17,266934.0,2017
Indiana,18,145917.0,2017
Iowa,19,72815.0,2017
Kansas,20,65990.0,2017
Kentucky,21,92729.0,2017
Louisiana,22,98893.0,2017
Maine,23,25733.0,2017
Maryland,24,120810.0,2017
Massachusetts,25,153835.0,2017
Michigan,26,216404.0,2017
Minnesota,27,110317.0,2017
Colorado,08,112440.0,2017
Mississippi,28,68971.0,2018
Missouri,29,127800.0,2018
Montana,30,22531.0,2018
Nebraska,31,40975.0,2018
Nevada,32,52976.0,2018
New Hampshire,33,28947.0,2018
New Jersey,34,168153.0,2018
New Mexico,35,43438.0,2018
New York,36,399973.0,2018
North Carolina,37,222930.0,2018
North Dakota,38,18480.0,2018
Ohio,39,242528.0,2018
Oklahoma,40,85643.0,2018
Oregon,41,77142.0,2018
Pennsylvania,42,268344.0,2018
Rhode Island,44,25743.0,2018
South Carolina,45,109210.0,2018
South Dakota,46,18680.0,2018
Tennessee,47,133598.0,2018
Texas,48,620941.0,2018
Vermont,50,16274.0,2018
Utah,49,67354.0,2018
Virginia,51,180503.0,2018
Washington,53,140669.0,2018
West Virginia,54,36518.0,2018
Wisconsin,55,121498.0,2018
Wyoming,56,12470.0,2018
Alabama,01,101974.0,2018
Alaska,02,15799.0,2018
Arizona,04,150910.0,2018
Arkansas,05,65137.0,2018
California,06,835202.0,2018
Colorado,08,114164.0,2018
Delaware,10,19262.0,2018
Connecticut,09,78882.0,2018
Florida,12,387378.0,2018
Georgia,13,228762.0,2018
Idaho,16,35875.0,2018
Hawaii,15,26687.0,2018
Illinois,17,260902.0,2018
Indiana,18,144797.0,2018
Iowa,19,72329.0,2018
Kansas,20,66033.0,2018
Kentucky,21,93228.0,2018
Louisiana,22,97185.0,2018
Maine,23,24550.0,2018
Maryland,24,120253.0,2018
Massachusetts,25,154079.0,2018
Michigan,26,215566.0,2018
Minnesota,27,110223.0,2018
Alabama,01,100850.0,2019
Alaska,02,15900.0,2019
Arizona,04,152575.0,2019
Arkansas,05,64728.0,2019
California,06,825275.0,2019
Colorado,08,114992.0,2019
Delaware,10,18721.0,2019
Connecticut,09,78105.0,2019
Florida,12,386288.0,2019
Georgia,13,228677.0,2019
Idaho,16,35553.0,2019
Hawaii,15,26165.0,2019
Illinois,17,257387.0,2019
Indiana,18,145894.0,2019
Iowa,19,71031.0,2019
Kansas,20,66111.0,2019
Kentucky,21,94120.0,2019
Louisiana,22,96687.0,2019
Maine,23,24634.0,2019
Maryland,24,119864.0,2019
Massachusetts,25,153663.0,2019
Michigan,26,212389.0,2019
Minnesota,27,109796.0,2019
Mississippi,28,67269.0,2019
Missouri,29,126006.0,2019
Montana,30,22280.0,2019
Nebraska,31,41167.0,2019
Nevada,32,53188.0,2019
New Hampshire,33,28913.0,2019
New Jersey,34,167031.0,2019
New Mexico,35,43159.0,2019
New York,36,393125.0,2019
North Carolina,37,221979.0,2019
North Dakota,38,18514.0,2019
Ohio,39,241968.0,2019
Oklahoma,40,86248.0,2019
Oregon,41,76877.0,2019
Pennsylvania,42,263870.0,2019
Rhode Island,44,25604.0,2019
South Carolina,45,110689.0,2019
South Dakota,46,18926.0,2019
Tennessee,47,134093.0,2019
Texas,48,627275.0,2019
Vermont,50,16592.0,2019
Utah,49,70168.0,2019
